"Cards","Total Hands","Won Hand%","Net Won USD","bb/100","VPIP","PFR","3Bet","WTSD%","W$SD%","Agg","Agg%"
"AA","6","100,00","$33,00","1925,00","100,00","100,00","100,00","50,00","100,00","6,00","66,67"
"AKs","4","75,00","$-9,89","-865,00","100,00","100,00","100,00","50,00","50,00","8,00","80,00"
"AKo","16","75,00","$6,53","142,81","100,00","100,00","100,00","27,27","66,67","2,67","50,00"
"AQs","11","63,64","$8,93","284,09","100,00","100,00","100,00","37,50","66,67","3,00","37,50"
"AQo","28","64,29","$-26,19","-327,32","100,00","100,00","100,00","33,33","50,00","3,20","45,71"
"AJs","5","60,00","$-16,87","-1181,00","100,00","100,00","100,00","50,00","50,00","6,00","85,71"
"AJo","11","72,73","$15,71","500,00","100,00","90,91","90,91","57,14","50,00","12,00","46,15"
"ATs","6","50,00","$-15,57","-908,33","100,00","83,33","83,33","33,33","0,00","0,00","0,00"
"ATo","17","52,94","$37,69","775,88","100,00","47,06","47,06","42,86","66,67","1,50","29,03"
"A9s","7","85,71","$3,81","190,71","100,00","85,71","85,71","25,00","100,00","3,00","42,86"
"A9o","26","46,15","$16,53","222,50","100,00","3,85","3,85","42,31","63,64","0,64","15,52"
"A8s","11","36,36","$-42,23","-1343,64","100,00","81,82","81,82","66,67","0,00","2,33","41,18"
"A8o","22","36,36","$-3,80","-60,45","100,00","0,00","0,00","45,45","70,00","0,13","1,96"
"A7s","9","55,56","$1,96","76,11","100,00","44,44","44,44","57,14","75,00","0,14","5,26"
"A7o","19","63,16","$5,26","96,84","100,00","0,00","0,00","21,05","75,00","2,40","30,00"
"A6s","5","80,00","$3,94","276,00","100,00","40,00","40,00","75,00","100,00","0,00","0,00"
"A6o","25","44,00","$1,83","25,60","100,00","8,00","8,00","56,00","57,14","0,27","6,90"
"A5s","8","37,50","$33,47","1464,38","100,00","25,00","25,00","50,00","50,00","6,00","31,58"
"A5o","26","38,46","$25,01","336,73","100,00","0,00","0,00","46,15","58,33","0,33","8,06"
"A4s","4","25,00","$-2,51","-220,00","100,00","0,00","0,00","50,00","50,00","0,00","0,00"
"A4o","23","30,43","$-10,69","-162,61","100,00","0,00","0,00","52,17","33,33","0,58","12,28"
"A3s","7","28,57","$-9,47","-473,57","100,00","14,29","14,29","66,67","50,00","0,75","18,75"
"A3o","22","31,82","$-20,57","-327,27","100,00","0,00","0,00","45,45","50,00","0,31","7,41"
"A2s","5","20,00","$-2,99","-209,00","100,00","0,00","0,00","40,00","0,00","1,00","9,09"
"A2o","24","25,00","$-8,90","-129,79","87,50","0,00","0,00","33,33","42,86","0,83","11,11"
"KK","9","100,00","$39,76","1546,11","100,00","100,00","100,00","25,00","100,00","10,00","71,43"
"KQs","7","42,86","$-46,11","-2305,71","100,00","85,71","85,71","33,33","0,00","12,00","42,86"
"KQo","21","57,14","$-1,23","-20,48","100,00","66,67","66,67","35,71","20,00","3,50","43,75"
"KJo","27","25,93","$-27,13","-351,67","100,00","7,41","7,41","46,15","33,33","0,29","8,33"
"KTs","6","33,33","$-11,89","-693,33","100,00","83,33","83,33","0,00","na","0,50","25,00"
"KTo","20","45,00","$-17,89","-313,00","100,00","0,00","0,00","35,00","28,57","1,44","26,53"
"K9s","5","40,00","$15,23","1066,00","100,00","20,00","20,00","50,00","100,00","1,00","18,18"
"K9o","11","9,09","$-25,73","-818,64","90,91","0,00","0,00","40,00","0,00","0,17","4,55"
"K8s","6","50,00","$-7,76","-452,50","100,00","0,00","0,00","33,33","50,00","0,50","14,29"
"K8o","25","32,00","$-29,13","-407,80","100,00","0,00","0,00","20,00","0,00","1,38","23,40"
"K7s","9","11,11","$-10,73","-417,22","100,00","11,11","11,11","0,00","na","0,67","10,00"
"K7o","28","32,14","$-6,97","-87,14","85,71","3,57","3,57","20,83","80,00","3,00","14,29"
"K6s","6","50,00","$1,83","106,67","100,00","0,00","0,00","50,00","100,00","0,33","7,14"
"K6o","25","4,00","$-7,67","-107,40","16,00","0,00","0,00","25,00","0,00","1,00","12,50"
"K5s","9","22,22","$-5,56","-216,11","100,00","0,00","0,00","44,44","50,00","1,00","5,26"
"K5o","16","0,00","$-4,57","-100,00","0,00","0,00","0,00","na","na","0,00","na"
"K4s","8","50,00","$5,87","256,88","100,00","12,50","12,50","57,14","75,00","1,00","14,29"
"K4o","15","0,00","$-4,29","-100,00","0,00","0,00","0,00","na","na","0,00","na"
"K3s","9","44,44","$2,89","112,22","100,00","11,11","11,11","33,33","66,67","1,00","10,53"
"K3o","25","0,00","$-7,57","-106,00","4,00","0,00","0,00","0,00","na","0,00","0,00"
"K2s","9","44,44","$-12,19","-473,89","100,00","0,00","0,00","66,67","66,67","2,50","23,81"
"K2o","36","0,00","$-10,29","-100,00","0,00","0,00","0,00","na","na","0,00","na"
"QQ","10","90,00","$82,51","2888,00","100,00","100,00","100,00","62,50","80,00","10,00","60,00"
"QJs","8","37,50","$-14,31","-626,25","100,00","75,00","75,00","16,67","0,00","10,00","41,67"
"QJo","12","58,33","$0,94","27,50","100,00","0,00","0,00","41,67","40,00","1,20","19,35"
"QTs","4","100,00","$4,96","433,75","100,00","100,00","100,00","0,00","na","2,00","100,00"
"QTo","17","58,82","$6,99","143,82","100,00","0,00","0,00","47,06","75,00","4,50","23,68"
"Q9s","4","50,00","$3,26","285,00","100,00","0,00","0,00","25,00","100,00","0,33","11,11"
"Q9o","18","55,56","$8,46","164,44","100,00","0,00","0,00","22,22","100,00","1,80","24,32"
"Q8s","6","83,33","$5,96","347,50","100,00","0,00","0,00","83,33","80,00","3,00","17,65"
"Q8o","10","20,00","$-12,11","-424,00","90,00","0,00","0,00","44,44","25,00","1,00","14,29"
