Hand,RAISE 100,CALL,FOLD,RAISE 100 EV,CALL EV,FOLD EV
3c2c,8.80126953,90.8813596,0.31737089,0.97236633,0.97620773,0.00000095
3c2d,0.03662109,0.06561279,99.8977661,-3.3285513,-2.3646469,-0.000001
3c2h,0.03662109,0.06561279,99.8977661,-3.3285513,-2.3646469,-0.000001
3c2s,0.03662109,0.06561279,99.8977661,-3.3285513,-2.3646469,-0.000001
4c2c,3.7689209,95.8465695,0.38450956,1.19112015,1.19759846,0
4c3c,13.8427734,86.0962033,0.06102324,3.1899457,3.18678141,0
4c2d,0.01525879,0.03814697,99.9465942,-3.524024,-2.4692831,0.00000095
4c3d,0.03662109,0.07629395,99.887085,-2.0015707,-0.9881163,0
4c2h,0.01525879,0.03814697,99.9465942,-3.524024,-2.4692831,0.00000095
4c3h,0.03662109,0.07629395,99.887085,-2.0015707,-0.9881163,0
4c2s,0.01525879,0.03814697,99.9465942,-3.524024,-2.4692831,0.00000095
4c3s,0.03662109,0.07629395,99.887085,-2.0015707,-0.9881163,0
5c2c,15.8691406,84.0576291,0.07323027,1.57888317,1.57309341,0
5c3c,2.0111084,97.9263425,0.06254911,3.67669582,3.67959881,0
5c4c,95.816052,4.13818359,0.04576445,4.76526976,4.6642561,0
5c2d,0.03662109,0.06561279,99.8977661,-2.8272152,-1.9762602,0.00000095
5c3d,0.10070801,12.1520996,87.7471924,-0.728261,-0.0002089,0
5c4d,0.19378662,34.0332031,65.7730103,-0.3528328,0.00052166,0
5c2h,0.03662109,0.06561279,99.8977661,-2.8272152,-1.9762602,0.00000095
5c3h,0.10070801,12.1520996,87.7471924,-0.728261,-0.0002089,0
5c4h,0.19378662,34.0332031,65.7730103,-0.3528328,0.00052166,0
5c2s,0.03662109,0.06561279,99.8977661,-2.8272152,-1.9762602,0.00000095
5c3s,0.10070801,12.1520996,87.7471924,-0.728261,-0.0002089,0
5c4s,0.19378662,34.0332031,65.7730103,-0.3528328,0.00052166,0
6c2c,0.340271,98.1765866,1.48314238,-0.1068783,0.3079052,0
6c3c,25.5126953,74.4384885,0.0488162,2.52660465,2.52061176,0
6c4c,29.0283203,70.9228635,0.0488162,3.37211657,3.36236334,0.00000095
6c5c,96.3836789,3.5736084,0.04271269,5.61833811,5.23659945,0.00000095
6c2d,0.01525879,0.03814697,99.9465942,-5.4605026,-3.8075705,0
6c3d,0.03662109,0.06256104,99.9008179,-3.0698681,-2.1092024,0
6c4d,0.03662109,0.07629395,99.887085,-2.2024269,-1.232089,0
6c5d,7.15332031,90.850842,1.99583769,0.08498955,0.08795166,0.00000095
6c2h,0.01525879,0.03814697,99.9465942,-5.4605026,-3.8075705,0
6c3h,0.03662109,0.06256104,99.9008179,-3.0698681,-2.1092024,0
6c4h,0.03662109,0.07629395,99.887085,-2.2024269,-1.232089,0
6c5h,7.15332031,90.850842,1.99583769,0.08498955,0.08795166,0.00000095
6c2s,0.01525879,0.03814697,99.9465942,-5.4605026,-3.8075705,0
6c3s,0.03662109,0.06256104,99.9008179,-3.0698681,-2.1092024,0
