,Cards,Total Hands,CALL_diff,CALL_real,CALL,3Bet_diff,3Bet,RAISE 100
42,K4o,15.0,-99.0478635,0.0,99.0478635,-0.37231445,0.0,0.37231445
40,K5o,16.0,-98.2010007,0.0,98.2010007,-1.69525146,0.0,1.69525146
128,83s,4.0,-97.7539182,0.0,97.7539182,-0.45013428,0.0,0.45013428
150,62s,13.0,-90.4865866,7.69,98.1765866,7.349729,7.69,0.340271
59,Q6o,21.0,-89.14486790000001,9.52,98.6648679,-0.35247803,0.0,0.35247803
44,K3o,25.0,-81.8154416,4.0,85.8154416,-6.92749023,0.0,6.92749023
145,65o,20.0,-80.850842,10.0,90.850842,2.84667969,10.0,7.15332031
117,92s,11.0,-80.32465059999998,18.18,98.50465059999999,-0.5065917999999999,0.0,0.5065917999999999
38,K6o,25.0,-78.5312619,16.0,94.5312619,-5.41687012,0.0,5.41687012
102,T2s,9.0,-77.3039377,22.22,99.5239377,-0.44250488,0.0,0.44250488
57,Q7o,31.0,-76.62045140000001,22.58,99.2004514,-0.38146973,0.0,0.38146973
155,53s,9.0,-75.7063425,22.22,97.9263425,53.548891600000005,55.56,2.0111084
83,J3s,2.0,-74.8291135,0.0,74.8291135,-25.1464844,0.0,25.1464844
165,32s,6.0,-74.2113596,16.67,90.8813596,-8.80126953,0.0,8.80126953
134,76o,25.0,-69.0263791,8.0,77.0263791,-14.888183600000001,8.0,22.8881836
162,42s,7.0,-67.2765695,28.57,95.8465695,-3.7689209000000004,0.0,3.7689209000000004
136,75o,28.0,-63.4765744,0.0,63.4765744,3.35027344,3.57,0.21972656
123,86o,19.0,-63.22489470000001,10.53,73.75489470000001,-20.545664100000003,5.26,25.8056641
96,T5s,8.0,-61.8270993,37.5,99.3270993,24.41558838,25.0,0.58441162
76,J7o,13.0,-60.319308799999995,38.46,98.7793088,7.2947973600000005,7.69,0.39520264
121,87o,31.0,-59.180051000000006,19.36,78.540051,-14.961132800000001,6.45,21.4111328
111,95s,3.0,-58.082365400000015,33.33,91.41236540000001,58.149492190000004,66.67,8.52050781
93,T7o,27.0,-56.5635275,37.04,93.6035275,-5.8380127,0.0,5.8380127
90,T8s,9.0,-54.7851682,0.0,54.7851682,54.7851562,100.0,45.2148438
108,97o,20.0,-54.38233609999999,25.0,79.38233609999999,-10.556640600000001,10.0,20.5566406
146,64s,6.0,-54.252863500000004,16.67,70.9228635,54.3016797,83.33,29.028320299999997
160,43s,3.0,-52.7662033,33.33,86.0962033,52.8272266,66.67,13.8427734
85,J2s,12.0,-49.54072240000001,50.0,99.5407224,32.87071045,33.33,0.45928955
110,96o,24.0,-49.125910399999995,4.17,53.2959104,-0.16784668,0.0,0.16784668
106,98o,19.0,-48.14757049999999,36.85,84.9975705,-9.718027300000001,5.26,14.9780273
139,73s,6.0,-46.517956299999994,50.0,96.5179563,-2.82897949,0.0,2.82897949
115,93s,9.0,-44.360060700000005,44.44,88.8000607,-11.0717773,0.0,11.0717773
100,T3s,9.0,-43.6053562,55.56,99.1653562,10.376052249999999,11.11,0.73394775
126,84s,6.0,-42.23374240000001,33.34,75.57374240000001,8.976972699999997,33.33,24.3530273
81,J4s,7.0,-42.049770200000005,57.13999999999999,99.1897702,27.82842285,28.57,0.74157715
148,63s,3.0,-41.0984885,33.34,74.4384885,7.8173046999999976,33.33,25.5126953
137,74s,5.0,-37.446301,20.0,57.446301,17.495117200000003,60.0,42.5048828
157,52s,4.0,-34.0576291,50.0,84.0576291,-15.869140599999998,0.0,15.869140599999998
154,54o,28.0,-34.0332031,0.0,34.0332031,6.94621338,7.14,0.19378662
91,T8o,21.0,-33.4705783,42.86,76.3305783,-14.1128125,9.52,23.6328125
63,Q4o,13.0,-29.8583984,0.0,29.8583984,-0.14648438,0.0,0.14648438
113,94s,4.0,-24.159252600000002,75.0,99.1592526,-0.65765381,0.0,0.65765381
71,J9s,6.0,-23.628019700000003,33.33,56.9580197,23.6280078,66.67,43.0419922
98,T4s,13.0,-22.794672599999984,76.92,99.71467259999999,-0.28533936,0.0,0.28533936
13,A7s,9.0,-20.770578299999997,55.56,76.3305783,20.770566399999996,44.44,23.6694336
61,Q5o,27.0,-16.8701172,0.0,16.8701172,-0.09460449,0.0,0.09460449
74,J8o,20.0,-16.8200803,80.0,96.8200803,1.86889648,5.0,3.13110352
167,22,12.0,-16.6333908,83.33,99.9633908,16.647111820000003,16.67,0.02288818
77,J6s,11.0,-16.30928440000001,81.82,98.1292844,7.25589355,9.09,1.83410645
11,A8s,11.0,-16.09734379999999,18.180000000000007,34.2773438,16.097331799999992,81.82,65.7226682
24,A2o,24.0,-12.399303900000007,87.5,99.8993039,-0.10070801,0.0,0.10070801
156,53o,17.0,-12.1520996,0.0,12.1520996,-0.10070801,0.0,0.10070801
60,Q5s,7.0,-9.340060699999995,85.71000000000001,95.0500607,9.340048829999999,14.29,4.94995117
55,Q8o,10.0,-9.201977299999996,90.0,99.2019773,-0.76751709,0.0,0.76751709
15,A6s,5.0,-7.797863500000005,60.0,67.7978635,7.797851600000001,40.0,32.2021484
16,A6o,25.0,-6.756420599999984,92.0,98.75642059999998,6.75640869,8.0,1.24359131
36,K7o,28.0,-5.903224800000004,82.14,88.0432248,-8.3318555,3.57,11.9018555
88,T9s,7.0,-2.7288281000000083,28.569999999999993,31.2988281,2.7288162000000113,71.43,68.7011838
75,J7s,5.0,-2.3535275000000055,60.0,62.353527500000006,2.3535156000000015,40.0,37.6464844
78,J6o,15.0,-1.13525391,0.0,1.13525391,-0.14190674,0.0,0.14190674
46,K2o,36.0,-1.12762451,0.0,1.12762451,-0.12664795,0.0,0.12664795
50,QTs,4.0,-0.74310303,0.0,0.74310303,0.7430911000000009,100.0,99.2569089
73,J8s,5.0,-0.6005858999999987,40.0,40.6005859,0.6005740000000017,60.0,59.399426
66,Q2s,8.0,-0.43946499999999844,87.5,87.939465,0.4394530999999997,12.5,12.0605469
80,J5o,25.0,-0.35858154,0.0,0.35858154,-0.18310547,0.0,0.18310547
65,Q3o,22.0,-0.35858154,0.0,0.35858154,-0.18310547,0.0,0.18310547
130,82s,5.0,-0.34942627,0.0,0.34942627,-0.26245117,0.0,0.26245117
95,T6o,22.0,-0.33111572,0.0,0.33111572,-0.26550293,0.0,0.26550293
82,J4o,28.0,-0.22277832,0.0,0.22277832,-0.02441406,0.0,0.02441406
141,72s,4.0,-0.21362305,0.0,0.21362305,-0.19073486,0.0,0.19073486
125,85o,20.0,-0.18920898,0.0,0.18920898,9.80773926,10.0,0.19226074
67,Q2o,12.0,-0.10070801,0.0,0.10070801,-0.02441406,0.0,0.02441406
99,T4o,19.0,-0.07629395,0.0,0.07629395,-0.03662109,0.0,0.03662109
84,J3o,23.0,-0.07629395,0.0,0.07629395,-0.03662109,0.0,0.03662109
86,J2o,23.0,-0.07629395,0.0,0.07629395,-0.03662109,0.0,0.03662109
161,43o,27.0,-0.07629395,0.0,0.07629395,-0.03662109,0.0,0.03662109
97,T5o,21.0,-0.07629395,0.0,0.07629395,-0.03662109,0.0,0.03662109
147,64o,21.0,-0.07629395,0.0,0.07629395,-0.03662109,0.0,0.03662109
158,52o,27.0,-0.06561279,0.0,0.06561279,-0.03662109,0.0,0.03662109
166,32o,26.0,-0.06561279,0.0,0.06561279,-0.03662109,0.0,0.03662109
140,73o,27.0,-0.06256104,0.0,0.06256104,-0.03662109,0.0,0.03662109
138,74o,30.0,-0.06256104,0.0,0.06256104,-0.03662109,0.0,0.03662109
149,63o,29.0,-0.06256104,0.0,0.06256104,-0.03662109,0.0,0.03662109
116,93o,11.0,-0.06256104,0.0,0.06256104,-0.03662109,0.0,0.03662109
114,94o,25.0,-0.06256104,0.0,0.06256104,-0.03662109,0.0,0.03662109
